,duration,stim_type
0,2.0,triangle
1,1.1,NULL
2,2.0,line
3,1.0,NULL
4,2.0,square
5,1.3,NULL
6,2.0,triangle
7,1.4,NULL
8,2.0,square
9,1.7,NULL
10,2.0,circle
11,2.0,NULL
12,2.0,line
13,1.7,NULL
14,2.0,circle
15,1.5,NULL
