,duration,stim_type
0,2.0,circle
1,1.1,NULL
2,2.0,square
3,1.4,NULL
4,2.0,triangle
5,1.4,NULL
6,2.0,line
7,1.9,NULL
8,2.0,triangle
9,1.1,NULL
10,2.0,square
11,1.4,NULL
12,2.0,circle
13,1.4,NULL
14,2.0,line
15,1.7,NULL
