,duration,stim_type
0,2.0,circle
1,1.2,NULL
2,2.0,line
3,1.2,NULL
4,2.0,triangle
5,1.1,NULL
6,2.0,square
7,1.1,NULL
8,2.0,triangle
9,1.2,NULL
10,2.0,square
11,2.0,NULL
12,2.0,line
13,2.0,NULL
14,2.0,circle
15,1.3,NULL
